,InvoiceDate,Total_Price,year,month,day,week,weekday,dayofyear
2011-01-21,2011-01-21,31978.440000000195,2011,1,21,3,4,21
2011-01-22,2011-01-22,0.0,2011,1,22,3,5,22
2011-01-23,2011-01-23,10285.94999999997,2011,1,23,3,6,23
2011-01-24,2011-01-24,25555.620000000134,2011,1,24,4,0,24
2011-01-25,2011-01-25,27971.520000000117,2011,1,25,4,1,25
2011-01-26,2011-01-26,19493.320000000065,2011,1,26,4,2,26
2011-01-27,2011-01-27,21092.14000000008,2011,1,27,4,3,27
2011-01-28,2011-01-28,18567.76999999999,2011,1,28,4,4,28
2011-01-29,2011-01-29,0.0,2011,1,29,4,5,29
2011-01-30,2011-01-30,6456.439999999991,2011,1,30,4,6,30
2011-01-31,2011-01-31,22364.650000000103,2011,1,31,5,0,31
2011-02-01,2011-02-01,28433.220000000023,2011,2,1,5,1,32
2011-02-02,2011-02-02,21048.45000000002,2011,2,2,5,2,33
2011-02-03,2011-02-03,23344.580000000096,2011,2,3,5,3,34
2011-02-04,2011-02-04,24994.17000000004,2011,2,4,5,4,35
2011-02-05,2011-02-05,0.0,2011,2,5,5,5,36
2011-02-06,2011-02-06,3457.1099999999965,2011,2,6,5,6,37
2011-02-07,2011-02-07,25525.989999999987,2011,2,7,6,0,38
2011-02-08,2011-02-08,20728.140000000043,2011,2,8,6,1,39
2011-02-09,2011-02-09,16692.579999999976,2011,2,9,6,2,40
2011-02-10,2011-02-10,13427.539999999995,2011,2,10,6,3,41
2011-02-11,2011-02-11,20387.279999999984,2011,2,11,6,4,42
2011-02-12,2011-02-12,0.0,2011,2,12,6,5,43
2011-02-13,2011-02-13,5535.399999999994,2011,2,13,6,6,44
2011-02-14,2011-02-14,26222.03000000017,2011,2,14,7,0,45
2011-02-15,2011-02-15,36842.58000000006,2011,2,15,7,1,46
2011-02-16,2011-02-16,24730.810000000092,2011,2,16,7,2,47
2011-02-17,2011-02-17,26361.87000000019,2011,2,17,7,3,48
2011-02-18,2011-02-18,15928.399999999987,2011,2,18,7,4,49
2011-02-19,2011-02-19,0.0,2011,2,19,7,5,50
2011-02-20,2011-02-20,9578.890000000032,2011,2,20,7,6,51
2011-02-21,2011-02-21,23807.830000000176,2011,2,21,8,0,52
2011-02-22,2011-02-22,32292.620000000115,2011,2,22,8,1,53
2011-02-23,2011-02-23,26792.76000000015,2011,2,23,8,2,54
2011-02-24,2011-02-24,22655.830000000096,2011,2,24,8,3,55
2011-02-25,2011-02-25,18029.840000000007,2011,2,25,8,4,56
2011-02-26,2011-02-26,0.0,2011,2,26,8,5,57
2011-02-27,2011-02-27,9491.049999999981,2011,2,27,8,6,58
2011-02-28,2011-02-28,21753.680000000182,2011,2,28,9,0,59
2011-03-01,2011-03-01,25471.71000000005,2011,3,1,9,1,60
2011-03-02,2011-03-02,18296.45,2011,3,2,9,2,61
2011-03-03,2011-03-03,35842.62000000009,2011,3,3,9,3,62
2011-03-04,2011-03-04,19474.8700000001,2011,3,4,9,4,63
2011-03-05,2011-03-05,0.0,2011,3,5,9,5,64
2011-03-06,2011-03-06,9596.229999999989,2011,3,6,9,6,65
2011-03-07,2011-03-07,30525.580000000216,2011,3,7,10,0,66
2011-03-08,2011-03-08,25017.47000000018,2011,3,8,10,1,67
2011-03-09,2011-03-09,21907.120000000094,2011,3,9,10,2,68
2011-03-10,2011-03-10,25597.890000000112,2011,3,10,10,3,69
2011-03-11,2011-03-11,21995.28000000005,2011,3,11,10,4,70
2011-03-12,2011-03-12,0.0,2011,3,12,10,5,71
2011-03-13,2011-03-13,4137.619999999995,2011,3,13,10,6,72
2011-03-14,2011-03-14,25864.590000000062,2011,3,14,11,0,73
2011-03-15,2011-03-15,20660.029999999955,2011,3,15,11,1,74
2011-03-16,2011-03-16,21182.640000000065,2011,3,16,11,2,75
2011-03-17,2011-03-17,38804.25000000005,2011,3,17,11,3,76
2011-03-18,2011-03-18,16770.459999999995,2011,3,18,11,4,77
2011-03-19,2011-03-19,0.0,2011,3,19,11,5,78
2011-03-20,2011-03-20,21980.640000000094,2011,3,20,11,6,79
2011-03-21,2011-03-21,16370.270000000037,2011,3,21,12,0,80
2011-03-22,2011-03-22,31312.350000000228,2011,3,22,12,1,81
2011-03-23,2011-03-23,24029.070000000094,2011,3,23,12,2,82
2011-03-24,2011-03-24,36562.1000000001,2011,3,24,12,3,83
2011-03-25,2011-03-25,30656.030000000068,2011,3,25,12,4,84
2011-03-26,2011-03-26,0.0,2011,3,26,12,5,85
2011-03-27,2011-03-27,8979.979999999996,2011,3,27,12,6,86
2011-03-28,2011-03-28,19207.03,2011,3,28,13,0,87
2011-03-29,2011-03-29,70531.46999999977,2011,3,29,13,1,88
2011-03-30,2011-03-30,31489.25000000014,2011,3,30,13,2,89
2011-03-31,2011-03-31,31004.080000000187,2011,3,31,13,3,90
2011-04-01,2011-04-01,24391.780000000053,2011,4,1,13,4,91
2011-04-02,2011-04-02,0.0,2011,4,2,13,5,92
2011-04-03,2011-04-03,6878.0999999999985,2011,4,3,13,6,93
2011-04-04,2011-04-04,25073.020000000186,2011,4,4,14,0,94
2011-04-05,2011-04-05,28353.830000000136,2011,4,5,14,1,95
2011-04-06,2011-04-06,17279.350000000064,2011,4,6,14,2,96
2011-04-07,2011-04-07,18229.00000000011,2011,4,7,14,3,97
2011-04-08,2011-04-08,23299.140000000112,2011,4,8,14,4,98
2011-04-09,2011-04-09,0.0,2011,4,9,14,5,99
2011-04-10,2011-04-10,9363.879999999972,2011,4,10,14,6,100
2011-04-11,2011-04-11,22110.310000000063,2011,4,11,15,0,101
2011-04-12,2011-04-12,25124.250000000084,2011,4,12,15,1,102
2011-04-13,2011-04-13,23898.200000000026,2011,4,13,15,2,103
2011-04-14,2011-04-14,35295.580000000096,2011,4,14,15,3,104
2011-04-15,2011-04-15,28327.130999999976,2011,4,15,15,4,105
2011-04-16,2011-04-16,0.0,2011,4,16,15,5,106
2011-04-17,2011-04-17,12704.299999999996,2011,4,17,15,6,107
2011-04-18,2011-04-18,32185.610000000288,2011,4,18,16,0,108
2011-04-19,2011-04-19,23837.650000000187,2011,4,19,16,1,109
2011-04-20,2011-04-20,28239.390000000025,2011,4,20,16,2,110
2011-04-21,2011-04-21,31198.600000000082,2011,4,21,16,3,111
2011-04-22,2011-04-22,0.0,2011,4,22,16,4,112
2011-04-23,2011-04-23,0.0,2011,4,23,16,5,113
2011-04-24,2011-04-24,0.0,2011,4,24,16,6,114
2011-04-25,2011-04-25,0.0,2011,4,25,17,0,115
2011-04-26,2011-04-26,30585.54000000016,2011,4,26,17,1,116
2011-04-27,2011-04-27,25590.56000000002,2011,4,27,17,2,117
2011-04-28,2011-04-28,21241.900000000063,2011,4,28,17,3,118
2011-04-29,2011-04-29,0.0,2011,4,29,17,4,119
2011-04-30,2011-04-30,0.0,2011,4,30,17,5,120
2011-05-01,2011-05-01,6964.659999999997,2011,5,1,17,6,121
2011-05-02,2011-05-02,0.0,2011,5,2,18,0,122
2011-05-03,2011-05-03,19617.86000000013,2011,5,3,18,1,123
2011-05-04,2011-05-04,27462.300000000097,2011,5,4,18,2,124
2011-05-05,2011-05-05,28750.650000000238,2011,5,5,18,3,125
2011-05-06,2011-05-06,35714.580000000016,2011,5,6,18,4,126
2011-05-07,2011-05-07,0.0,2011,5,7,18,5,127
2011-05-08,2011-05-08,18808.92000000005,2011,5,8,18,6,128
2011-05-09,2011-05-09,26060.43000000019,2011,5,9,19,0,129
2011-05-10,2011-05-10,45564.11999999992,2011,5,10,19,1,130
2011-05-11,2011-05-11,33240.36000000021,2011,5,11,19,2,131
2011-05-12,2011-05-12,59911.969999999856,2011,5,12,19,3,132
2011-05-13,2011-05-13,30744.070000000083,2011,5,13,19,4,133
2011-05-14,2011-05-14,0.0,2011,5,14,19,5,134
2011-05-15,2011-05-15,9924.280000000004,2011,5,15,19,6,135
2011-05-16,2011-05-16,25279.770000000142,2011,5,16,20,0,136
2011-05-17,2011-05-17,53603.829999999856,2011,5,17,20,1,137
2011-05-18,2011-05-18,34337.29000000008,2011,5,18,20,2,138
2011-05-19,2011-05-19,34348.75000000001,2011,5,19,20,3,139
2011-05-20,2011-05-20,26256.520000000062,2011,5,20,20,4,140
2011-05-21,2011-05-21,0.0,2011,5,21,20,5,141
2011-05-22,2011-05-22,24205.370000000068,2011,5,22,20,6,142
2011-05-23,2011-05-23,30739.550000000083,2011,5,23,21,0,143
2011-05-24,2011-05-24,37028.91000000005,2011,5,24,21,1,144
2011-05-25,2011-05-25,24152.28000000008,2011,5,25,21,2,145
2011-05-26,2011-05-26,33208.590000000026,2011,5,26,21,3,146
2011-05-27,2011-05-27,28232.19000000009,2011,5,27,21,4,147
2011-05-28,2011-05-28,0.0,2011,5,28,21,5,148
2011-05-29,2011-05-29,7208.299999999987,2011,5,29,21,6,149
2011-05-30,2011-05-30,0.0,2011,5,30,22,0,150
2011-05-31,2011-05-31,21967.96000000007,2011,5,31,22,1,151
2011-06-01,2011-06-01,20191.200000000124,2011,6,1,22,2,152
2011-06-02,2011-06-02,32502.010000000162,2011,6,2,22,3,153
2011-06-03,2011-06-03,16750.999999999996,2011,6,3,22,4,154
2011-06-04,2011-06-04,0.0,2011,6,4,22,5,155
2011-06-05,2011-06-05,25520.350000000108,2011,6,5,22,6,156
2011-06-06,2011-06-06,16791.39,2011,6,6,23,0,157
2011-06-07,2011-06-07,37644.30000000004,2011,6,7,23,1,158
2011-06-08,2011-06-08,42940.90999999981,2011,6,8,23,2,159
2011-06-09,2011-06-09,45515.750000000255,2011,6,9,23,3,160
2011-06-10,2011-06-10,22540.659999999985,2011,6,10,23,4,161
2011-06-11,2011-06-11,0.0,2011,6,11,23,5,162
2011-06-12,2011-06-12,12483.85999999999,2011,6,12,23,6,163
2011-06-13,2011-06-13,20372.93000000005,2011,6,13,24,0,164
2011-06-14,2011-06-14,40211.93000000002,2011,6,14,24,1,165
2011-06-15,2011-06-15,46139.17999999991,2011,6,15,24,2,166
2011-06-16,2011-06-16,34131.730000000054,2011,6,16,24,3,167
2011-06-17,2011-06-17,20800.72000000004,2011,6,17,24,4,168
2011-06-18,2011-06-18,0.0,2011,6,18,24,5,169
2011-06-19,2011-06-19,22360.010000000104,2011,6,19,24,6,170
2011-06-20,2011-06-20,33493.400000000096,2011,6,20,25,0,171
2011-06-21,2011-06-21,22730.010000000064,2011,6,21,25,1,172
2011-06-22,2011-06-22,21794.94000000005,2011,6,22,25,2,173
2011-06-23,2011-06-23,24273.310000000143,2011,6,23,25,3,174
2011-06-24,2011-06-24,8619.880000000001,2011,6,24,25,4,175
2011-06-25,2011-06-25,0.0,2011,6,25,25,5,176
2011-06-26,2011-06-26,6175.169999999984,2011,6,26,25,6,177
2011-06-27,2011-06-27,16823.859999999993,2011,6,27,26,0,178
2011-06-28,2011-06-28,34704.640000000116,2011,6,28,26,1,179
2011-06-29,2011-06-29,21775.43,2011,6,29,26,2,180
2011-06-30,2011-06-30,43834.550000000076,2011,6,30,26,3,181
2011-07-01,2011-07-01,13171.82000000001,2011,7,1,26,4,182
2011-07-02,2011-07-02,0.0,2011,7,2,26,5,183
2011-07-03,2011-07-03,5977.139999999991,2011,7,3,26,6,184
2011-07-04,2011-07-04,44154.75000000023,2011,7,4,27,0,185
2011-07-05,2011-07-05,40334.970000000096,2011,7,5,27,1,186
2011-07-06,2011-07-06,26279.580000000133,2011,7,6,27,2,187
2011-07-07,2011-07-07,31357.720000000118,2011,7,7,27,3,188
2011-07-08,2011-07-08,26840.080000000118,2011,7,8,27,4,189
2011-07-09,2011-07-09,0.0,2011,7,9,27,5,190
2011-07-10,2011-07-10,5692.069999999985,2011,7,10,27,6,191
2011-07-11,2011-07-11,22429.530000000123,2011,7,11,28,0,192
2011-07-12,2011-07-12,25892.040000000077,2011,7,12,28,1,193
2011-07-13,2011-07-13,11612.049999999948,2011,7,13,28,2,194
2011-07-14,2011-07-14,32575.960000000166,2011,7,14,28,3,195
2011-07-15,2011-07-15,14478.929999999931,2011,7,15,28,4,196
2011-07-16,2011-07-16,0.0,2011,7,16,28,5,197
2011-07-17,2011-07-17,17174.660000000036,2011,7,17,28,6,198
2011-07-18,2011-07-18,28443.27000000024,2011,7,18,29,0,199
2011-07-19,2011-07-19,49316.78000000004,2011,7,19,29,1,200
2011-07-20,2011-07-20,27305.41000000014,2011,7,20,29,2,201
2011-07-21,2011-07-21,30957.069999999985,2011,7,21,29,3,202
2011-07-22,2011-07-22,20015.229999999974,2011,7,22,29,4,203
2011-07-23,2011-07-23,0.0,2011,7,23,29,5,204
2011-07-24,2011-07-24,26476.200000000044,2011,7,24,29,6,205
2011-07-25,2011-07-25,26687.650000000176,2011,7,25,30,0,206
2011-07-26,2011-07-26,21271.301000000043,2011,7,26,30,1,207
2011-07-27,2011-07-27,25568.450000000103,2011,7,27,30,2,208
2011-07-28,2011-07-28,55706.88000000003,2011,7,28,30,3,209
2011-07-29,2011-07-29,18094.209999999955,2011,7,29,30,4,210
2011-07-30,2011-07-30,0.0,2011,7,30,30,5,211
2011-07-31,2011-07-31,33486.359999999986,2011,7,31,30,6,212
2011-08-01,2011-08-01,21362.840000000026,2011,8,1,31,0,213
2011-08-02,2011-08-02,14947.269999999931,2011,8,2,31,1,214
2011-08-03,2011-08-03,27075.02000000017,2011,8,3,31,2,215
2011-08-04,2011-08-04,61028.650000000096,2011,8,4,31,3,216
2011-08-05,2011-08-05,21298.300000000094,2011,8,5,31,4,217
2011-08-06,2011-08-06,0.0,2011,8,6,31,5,218
2011-08-07,2011-08-07,7464.1199999999935,2011,8,7,31,6,219
2011-08-08,2011-08-08,19987.149999999994,2011,8,8,32,0,220
2011-08-09,2011-08-09,26623.200000000084,2011,8,9,32,1,221
2011-08-10,2011-08-10,27474.22000000012,2011,8,10,32,2,222
2011-08-11,2011-08-11,72132.7900000002,2011,8,11,32,3,223
2011-08-12,2011-08-12,32173.60000000014,2011,8,12,32,4,224
2011-08-13,2011-08-13,0.0,2011,8,13,32,5,225
2011-08-14,2011-08-14,5150.1799999999985,2011,8,14,32,6,226
2011-08-15,2011-08-15,17205.54,2011,8,15,33,0,227
2011-08-16,2011-08-16,19103.710000000032,2011,8,16,33,1,228
2011-08-17,2011-08-17,49392.21999999998,2011,8,17,33,2,229
2011-08-18,2011-08-18,53225.66999999996,2011,8,18,33,3,230
2011-08-19,2011-08-19,17248.539999999994,2011,8,19,33,4,231
2011-08-20,2011-08-20,0.0,2011,8,20,33,5,232
2011-08-21,2011-08-21,14549.210000000008,2011,8,21,33,6,233
2011-08-22,2011-08-22,27978.41000000003,2011,8,22,34,0,234
2011-08-23,2011-08-23,25756.300000000057,2011,8,23,34,1,235
2011-08-24,2011-08-24,37074.90000000005,2011,8,24,34,2,236
2011-08-25,2011-08-25,22458.880000000034,2011,8,25,34,3,237
2011-08-26,2011-08-26,25550.229999999974,2011,8,26,34,4,238
2011-08-27,2011-08-27,0.0,2011,8,27,34,5,239
2011-08-28,2011-08-28,10784.779999999975,2011,8,28,34,6,240
2011-08-29,2011-08-29,0.0,2011,8,29,35,0,241
2011-08-30,2011-08-30,31640.900000000096,2011,8,30,35,1,242
2011-08-31,2011-08-31,16117.999999999998,2011,8,31,35,2,243
2011-09-01,2011-09-01,37296.600000000064,2011,9,1,35,3,244
2011-09-02,2011-09-02,41745.070000000014,2011,9,2,35,4,245
2011-09-03,2011-09-03,0.0,2011,9,3,35,5,246
2011-09-04,2011-09-04,17018.489999999998,2011,9,4,35,6,247
2011-09-05,2011-09-05,36844.04000000002,2011,9,5,36,0,248
2011-09-06,2011-09-06,28052.620000000057,2011,9,6,36,1,249
2011-09-07,2011-09-07,34125.65000000011,2011,9,7,36,2,250
2011-09-08,2011-09-08,26708.000000000102,2011,9,8,36,3,251
2011-09-09,2011-09-09,29317.690000000068,2011,9,9,36,4,252
2011-09-10,2011-09-10,0.0,2011,9,10,36,5,253
2011-09-11,2011-09-11,35465.470000000096,2011,9,11,36,6,254
2011-09-12,2011-09-12,29039.310000000096,2011,9,12,37,0,255
2011-09-13,2011-09-13,54828.45000000007,2011,9,13,37,1,256
2011-09-14,2011-09-14,23360.66000000013,2011,9,14,37,2,257
2011-09-15,2011-09-15,62943.80999999994,2011,9,15,37,3,258
2011-09-16,2011-09-16,25858.060000000034,2011,9,16,37,4,259
2011-09-17,2011-09-17,0.0,2011,9,17,37,5,260
2011-09-18,2011-09-18,15692.330000000027,2011,9,18,37,6,261
2011-09-19,2011-09-19,46212.21000000002,2011,9,19,38,0,262
2011-09-20,2011-09-20,109286.20999999992,2011,9,20,38,1,263
2011-09-21,2011-09-21,42944.070000000014,2011,9,21,38,2,264
2011-09-22,2011-09-22,57076.83000000003,2011,9,22,38,3,265
2011-09-23,2011-09-23,39426.48000000005,2011,9,23,38,4,266
2011-09-24,2011-09-24,0.0,2011,9,24,38,5,267
2011-09-25,2011-09-25,31210.921000000104,2011,9,25,38,6,268
2011-09-26,2011-09-26,28642.271000000113,2011,9,26,39,0,269
2011-09-27,2011-09-27,35752.15999999992,2011,9,27,39,1,270
2011-09-28,2011-09-28,43383.039999999884,2011,9,28,39,2,271
2011-09-29,2011-09-29,43464.33000000008,2011,9,29,39,3,272
2011-09-30,2011-09-30,43992.84999999993,2011,9,30,39,4,273
2011-10-01,2011-10-01,0.0,2011,10,1,39,5,274
2011-10-02,2011-10-02,11623.580000000014,2011,10,2,39,6,275
2011-10-03,2011-10-03,64214.78,2011,10,3,40,0,276
2011-10-04,2011-10-04,48240.839999999895,2011,10,4,40,1,277
2011-10-05,2011-10-05,75244.42999999986,2011,10,5,40,2,278
2011-10-06,2011-10-06,55306.27999999994,2011,10,6,40,3,279
2011-10-07,2011-10-07,47538.019999999815,2011,10,7,40,4,280
2011-10-08,2011-10-08,0.0,2011,10,8,40,5,281
2011-10-09,2011-10-09,11922.239999999993,2011,10,9,40,6,282
2011-10-10,2011-10-10,44265.890000000065,2011,10,10,41,0,283
2011-10-11,2011-10-11,38267.750000000065,2011,10,11,41,1,284
2011-10-12,2011-10-12,29302.85000000017,2011,10,12,41,2,285
2011-10-13,2011-10-13,37067.170000000064,2011,10,13,41,3,286
2011-10-14,2011-10-14,35225.53999999997,2011,10,14,41,4,287
2011-10-15,2011-10-15,0.0,2011,10,15,41,5,288
2011-10-16,2011-10-16,21605.44000000005,2011,10,16,41,6,289
2011-10-17,2011-10-17,47064.13999999996,2011,10,17,42,0,290
2011-10-18,2011-10-18,44637.84000000008,2011,10,18,42,1,291
2011-10-19,2011-10-19,36003.43000000002,2011,10,19,42,2,292
2011-10-20,2011-10-20,60793.13999999963,2011,10,20,42,3,293
2011-10-21,2011-10-21,62961.25999999997,2011,10,21,42,4,294
2011-10-22,2011-10-22,0.0,2011,10,22,42,5,295
2011-10-23,2011-10-23,12302.410000000013,2011,10,23,42,6,296
2011-10-24,2011-10-24,38407.719999999936,2011,10,24,43,0,297
2011-10-25,2011-10-25,40807.49000000003,2011,10,25,43,1,298
2011-10-26,2011-10-26,37842.07999999995,2011,10,26,43,2,299
2011-10-27,2011-10-27,47480.1499999999,2011,10,27,43,3,300
2011-10-28,2011-10-28,39559.47000000007,2011,10,28,43,4,301
2011-10-29,2011-10-29,0.0,2011,10,29,43,5,302
2011-10-30,2011-10-30,34545.280000000115,2011,10,30,43,6,303
2011-10-31,2011-10-31,48475.45000000016,2011,10,31,44,0,304
2011-11-01,2011-11-01,28741.55000000017,2011,11,1,44,1,305
2011-11-02,2011-11-02,45239.059999999816,2011,11,2,44,2,306
2011-11-03,2011-11-03,62816.549999999974,2011,11,3,44,3,307
2011-11-04,2011-11-04,60081.759999999886,2011,11,4,44,4,308
2011-11-05,2011-11-05,0.0,2011,11,5,44,5,309
2011-11-06,2011-11-06,42912.400000000176,2011,11,6,44,6,310
2011-11-07,2011-11-07,70001.08000000009,2011,11,7,45,0,311
2011-11-08,2011-11-08,56647.65999999981,2011,11,8,45,1,312
2011-11-09,2011-11-09,62599.42999999966,2011,11,9,45,2,313
2011-11-10,2011-11-10,68956.24000000003,2011,11,10,45,3,314
2011-11-11,2011-11-11,54835.51,2011,11,11,45,4,315
2011-11-12,2011-11-12,0.0,2011,11,12,45,5,316
2011-11-13,2011-11-13,33520.22000000013,2011,11,13,45,6,317
2011-11-14,2011-11-14,112141.10999999996,2011,11,14,46,0,318
2011-11-15,2011-11-15,60594.229999999865,2011,11,15,46,1,319
2011-11-16,2011-11-16,64408.7000000001,2011,11,16,46,2,320
2011-11-17,2011-11-17,60329.719999999776,2011,11,17,46,3,321
2011-11-18,2011-11-18,48031.80000000006,2011,11,18,46,4,322
2011-11-19,2011-11-19,0.0,2011,11,19,46,5,323
2011-11-20,2011-11-20,34902.010000000184,2011,11,20,46,6,324
2011-11-21,2011-11-21,48302.4999999998,2011,11,21,47,0,325
2011-11-22,2011-11-22,62307.31999999994,2011,11,22,47,1,326
2011-11-23,2011-11-23,78480.69999999969,2011,11,23,47,2,327
2011-11-24,2011-11-24,48080.27999999993,2011,11,24,47,3,328
2011-11-25,2011-11-25,50442.72000000002,2011,11,25,47,4,329
2011-11-26,2011-11-26,0.0,2011,11,26,47,5,330
2011-11-27,2011-11-27,20571.500000000084,2011,11,27,47,6,331
2011-11-28,2011-11-28,55442.01999999994,2011,11,28,48,0,332
2011-11-29,2011-11-29,72219.19999999997,2011,11,29,48,1,333
2011-11-30,2011-11-30,59150.97999999987,2011,11,30,48,2,334
2011-12-01,2011-12-01,51410.94999999973,2011,12,1,48,3,335
2011-12-02,2011-12-02,57086.059999999874,2011,12,2,48,4,336
2011-12-03,2011-12-03,0.0,2011,12,3,48,5,337
2011-12-04,2011-12-04,24565.780000000093,2011,12,4,48,6,338
2011-12-05,2011-12-05,57751.31999999972,2011,12,5,49,0,339
2011-12-06,2011-12-06,54228.37000000012,2011,12,6,49,1,340
2011-12-07,2011-12-07,75076.21999999968,2011,12,7,49,2,341
2011-12-08,2011-12-08,81417.77999999982,2011,12,8,49,3,342
2011-12-09,2011-12-09,32131.530000000013,2011,12,9,49,4,343
